=== Academy Binance ===
2023-06-21,What Are Crypto Trading Bots and How Do They Work?,https://academy.binance.com/en/articles/what-are-crypto-trading-bots-and-how-do-they-work
2023-06-13,Ten Tips for Using a Hardware Wallet Securely,https://academy.binance.com/en/articles/ten-tips-for-using-a-hardware-wallet-securely
2023-06-07,What Is Cloud Mining in Crypto?,https://academy.binance.com/en/articles/what-is-cloud-mining-in-crypto
=== Chainlink ===
2023-06-26,Announcing the Chainlink Spring 2023 Hackathon Winners,https://blog.chain.link/spring-2023-hackathon-winners/
2023-06-21,Chainlink Economics 2.0: One-Year Update,https://blog.chain.link/chainlink-economics-2-0-one-year-update/
2023-06-20,The Best Blockchain Course to Learn Solidity in 2023,https://blog.chain.link/blockchain-course-learn-solidity-web3/
2023-06-19,Chainlink Product Update: Q2 2023,https://blog.chain.link/product-update-q2-2023/
2023-06-16,DECO Research Series #4: Hiding Secret Lengths,https://blog.chain.link/hiding-secret-lengths/
2023-06-15,Sustainable Oracle Economics Are Critical to the Success of Web3,https://blog.chain.link/sustainable-oracle-economics/
2023-06-12,Volatility Oracles: Unlocking New DeFi Risk Management Strategies and Derivatives Markets,https://blog.chain.link/volatility-oracles/
2023-06-07,New Report: Why On-Chain Finance Is Inevitable,https://blog.chain.link/why-on-chain-finance-is-inevitable/
=== OpenAI ===
2023-06-13,Function calling and other API updates,https://openai.com/blog/function-calling-and-other-api-updates
=== Google Blog AI ===
2023-06-22,Our support for early warning systems,https://www.blog.google/outreach-initiatives/sustainability/early-warning-system-wmo-google/
2023-06-21,A new accelerator for AI-first startups in Europe and Israel,https://www.blog.google/outreach-initiatives/entrepreneurs/accelerator-ai-first/
2023-06-21,The creative and transformational possibilities of AI,https://www.blog.google/technology/ai/ai-creativity/
2023-06-14,8 ways Google Lens can help make your life easier,https://www.blog.google/products/google-lens/google-lens-features/
2023-06-14,6 Gmail AI features to help save you time,https://www.blog.google/products/gmail/gmail-ai-features/
2023-06-14,Introducing new AI-powered ad solutions to drive demand,https://www.blog.google/products/ads-commerce/new-ai-powered-ads-to-drive-demand/
2023-06-13,How Google Pixel Watch knows when you fall,https://www.blog.google/products/pixel/google-pixel-watch-fall-detection-ai/
2023-06-08,Introducing Google’s Secure AI Framework,https://www.blog.google/technology/safety-security/introducing-googles-secure-ai-framework/
2023-06-07,Bard is getting better at logic and reasoning,https://www.blog.google/technology/ai/bard-improved-reasoning-google-sheets-export/
